file_name,short_name,maxSegments,vertexCountOvershoot,recoveryThreshold,pvalThreshold,bestModelProportion,TN,FN,TP,FP,Precision,Recall,F1,Accuracy
lt_nbr_greatest_tuning_recoverythreshold_75,recovery threshold 0.75,10,3,0.75,0.05,0.75,337800,85464,36001,20230,0.640234035,0.296389907,0.405197641,0.779572258
lt_gee_nbr_greatest_defaults,defaults,10,3,0.25,0.05,0.75,344025,94976,27014,13480,0.667111177,0.221444381,0.33251274,0.773812031
rasters/lt_gee_nbr_greatest_tuning_maxsegments_8,max segmetns 08,8,3,0.25,0.05,0.75,344365,95283,26762,13085,0.671618942,0.219279774,0.330615472,0.773995558
rasters/lt_gee_nbr_greatest_tuning_maxsegments_12,max segments 12,12,3,0.25,0.05,0.75,343921,94646,27365,13563,0.668613174,0.224283056,0.335892573,0.774327157
lt_gee_nbr_greatest_tuning_vertexovershoot_1,vertex overshoot 1,10,1,0.25,0.05,0.75,344315,95019,27006,13155,0.672443415,0.221315304,0.333025045,0.77440015
lt_gee_nbr_greatest_tuning_vertexovershoot_5,vertex overshoot 5,10,5,0.25,0.05,0.75,344023,94815,27194,13463,0.66886391,0.222885197,0.334353829,0.774183255
lt_gee_nbr_greatest_tuning_recoverythreshold_05,recovery threshold 0.5,10,3,0.5,0.05,0.75,341428,86589,35100,16378,0.681844672,0.288440204,0.405389018,0.785259492
lt_gee_nbr_greatest_tuning_pval_1,pval 0.1,10,3,0.25,0.1,0.75,344011,94700,27275,13509,0.668767164,0.223611396,0.335158117,0.774327157
lt_gee_nbr_greatest_tuning_pval_2,pval 0.2,10,3,0.25,0.2,0.75,344081,94412,27553,13449,0.67199161,0.225909072,0.338142078,0.77505292
lt_gee_nbr_greatest_tuning_modelproportion_1,modelproportion 1,10,3,0.25,0.2,1,344187,95138,26880,13290,0.669156087,0.220295366,0.331467186,0.773870426
lt_gee_nbr_greatest_tuning_modelproportion_5,model proportion 0.5,10,3,0.25,0.2,0.5,344187,95138,26880,13290,0.669156087,0.220295366,0.331467186,0.773870426
lt_gee_nbr_greatest_tuning_maxsegments_16,max segments 16,16,3,0.25,0.05,0.75,343860,94576,27455,13604,0.668671911,0.224983816,0.336685266,0.774387637
lt_gee_nbr_greatest_tuning_maxsegments_14,max segments 14,14,3,0.25,0.05,0.75,343864,94711,27299,13621,0.667130987,0.223743955,0.335100964,0.774070637
lt_gee_nbr_greatest_tuning_recoverythreshold_08,recovery threshold 0.8,10,3,0.8,0.05,0.75,336819,85239,36129,21308,0.629019621,0.297681432,0.404116216,0.777793303
lt_gee_nbr_greatest_tuning_recoverythreshold_09,recovery threshold 0.9,10,3,0.9,0.05,0.75,335408,84959,36275,22853,0.613499526,0.299214742,0.402246593,0.775155111
lt_gee_nbr_greatest_tuning_recoverythreshold_1,recoverythreshold 1,10,3,1,0.05,0.75,334394,84785,36347,23969,0.602609589,0.30006109,0.400632688,0.773190544
lt_gee_nbr_greatest_tuning_combo_1,combo 01,12,1,0.75,0.1,0.75,336098,84606,36545,22246,0.62160875,0.301648356,0.406186438,0.777157217
lt_gee_nbr_greatest_tuning_combo_2,combo 02,16,1,0.75,0.1,0.75,334581,83863,37104,23947,0.607754173,0.306728281,0.407695942,0.775159282
lt_gee_nbr_greatest_tuning_combo_3,combo 03,16,5,0.75,0.1,0.75,334741,83807,37190,23757,0.610202307,0.307362992,0.408807105,0.775672322
lt_gee_nbr_greatest_tuning_combo_4,combo 04,12,5,0.75,0.1,0.75,336362,84389,36813,21931,0.626668255,0.303732612,0.40915608,0.778266718
lt_gee_nbr_greatest_tuning_combo_5,combo 05,16,5,0.5,0.1,0.75,339750,85242,36167,18336,0.663578152,0.297893896,0.411194233,0.783985234
lt_gee_nbr_greatest_tuning_combo_6,combo 06,12,5,0.5,0.1,0.75,340656,85643,35910,17286,0.675050756,0.295426686,0.410989476,0.785338742
lt_gee_nbr_greatest_tuning_combo_7,combo 07,16,5,0.75,0.2,0.75,334598,83648,37366,23883,0.610067103,0.308774191,0.410022879,0.775741144
lt_gee_nbr_greatest_tuning_combo_8,combo 08,12,5,0.75,0.2,0.75,336217,84214,36972,22092,0.625965055,0.305084746,0.410230236,0.778295915
lt_gee_nbr_greatest_tuning_combo_10,combo 10,16,1,0.75,0.05,0.75,334787,83921,37118,23669,0.610623982,0.306661489,0.408280444,0.775618098
lt_gee_nbr_greatest_tuning_combo_9,combo 09,16,5,0.5,0.05,0.75,340170,85441,35994,17890,0.667990498,0.296405484,0.410611514,0.78450036
lt_gee_nbr_greatest_tuning_combo_11,combo 11,12,1,0.5,0.1,0.75,340207,85702,35775,17811,0.667618408,0.294500193,0.408710007,0.784120794
lt_gee_nbr_greatest_tuning_combo_12,combo 12,16,1,0.5,0.1,0.75,339370,85050,36363,18712,0.66024512,0.299498406,0.412073342,0.783601497
lt_gee_nbr_greatest_tuning_combo12_dur_1,duration 1,16,1,0.5,0.1,0.75,355725,123770,0,0,NA,0,NA,0.741874264
lt_gee_nbr_greatest_tuning_combo12_dur_2,duration 2,16,1,0.5,0.1,0.75,341655,91897,29475,16468,0.641555841,0.242848433,0.352329438,0.774001814
lt_gee_nbr_greatest_tuning_combo12_mmu_10,mmu 10,16,1,0.5,0.1,0.75,341116,86639,35001,16739,0.676478547,0.287742519,0.403748991,0.78440234
lt_gee_nbr_greatest_tuning_combo12_mmu_15,mmu 15,16,1,0.5,0.1,0.75,342603,88443,33428,15021,0.689962641,0.274290028,0.392531705,0.784222985